bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1138043,869072,2019-05-21,Senate,"Senate Health Committee Vote",15,0,0,0,15
1138045,808803,2019-02-05,Senate,"Senate Cultural Affairs, Tourism, Parks and Recreation Committee Vote",7,0,0,0,7
1138045,808804,2019-02-26,Senate,"Senate Floor Vote - Final Passage",61,0,0,2,63
1138045,934980,2020-02-25,Senate,"Senate Cultural Affairs, Tourism, Parks and Recreation Committee Vote",7,0,0,0,7
1138045,973117,2020-07-21,Senate,"Senate Floor Vote - Final Passage",59,1,0,0,60
1138047,876611,2019-06-03,Senate,"Senate Floor Vote - Final Passage",43,19,0,0,62
1138047,877305,2019-06-03,Senate,"Senate Rules Committee Vote",15,4,0,0,19
1138048,787570,2019-01-28,Assembly,"Assembly Judiciary Committee: Favorable refer to committee Codes",21,0,0,0,21
1138048,796530,2019-02-11,Assembly,"Assembly Codes Committee: Favorable refer to committee Judiciary",22,0,0,0,22
1138048,809604,2019-02-26,Assembly,"Assembly Floor Vote - Final Passage",136,0,0,14,150
1138055,881518,2019-05-06,Senate,"Senate Agriculture Committee Vote",9,0,0,0,9
1138055,881759,2019-06-13,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138055,904895,2020-01-23,Senate,"Senate Agriculture Committee Vote",9,0,0,0,9
1138055,941949,2020-03-02,Senate,"Senate Floor Vote - Final Passage",61,0,0,1,62
1138062,875582,2019-05-30,Senate,"Senate Transportation Committee Vote",14,1,0,0,15
1138072,787314,2019-01-28,Senate,"Senate Commerce, Economic Development and Small Business Committee Vote",9,0,0,0,9
1138072,819960,2019-03-12,Senate,"Senate Finance Committee Vote",22,0,0,1,23
1138072,827839,2019-03-25,Senate,"Senate Floor Vote - Final Passage",62,0,0,0,62
1138072,883232,2019-06-17,Assembly,"Assembly Floor Vote - Final Passage",145,0,0,5,150
1138074,782431,2019-01-15,Assembly,"Assembly Health Committee: Favorable",25,0,0,1,26
1138074,785837,2019-01-23,Assembly,"Assembly Floor Vote - Final Passage",145,0,0,5,150
