bill_id,people_id,position
1138042,1275,1
1138043,1442,11
1138043,1450,16
1138043,11109,4
1138043,11114,2
1138043,11116,1
1138043,14215,15
1138043,14220,7
1138043,14669,14
1138043,20151,3
1138043,20155,10
1138043,20156,12
1138043,20167,8
1138043,20169,9
1138043,20262,5
1138043,20263,6
1138043,20264,13
1138044,1426,1
1138045,1450,1
1138046,1258,11
1138046,1356,4
1138046,1367,5
1138046,1390,2
1138046,11326,6
1138046,14214,3
1138046,16117,10
1138046,17008,7
1138046,17010,8
1138046,17551,9
1138046,18774,1
1138046,20261,15
1138046,20634,12
1138046,20637,13
1138046,20680,14
1138047,11116,1
1138048,1304,15
1138048,1322,12
1138048,1337,9
1138048,1375,7
1138048,1491,3
1138048,11101,8
1138048,11328,5
1138048,14210,4
1138048,14218,11
1138048,17439,1
1138048,18776,6
1138048,19640,13
1138048,19643,2
1138048,20252,10
1138048,20253,14
1138048,20256,16
1138049,17725,1
1138050,17007,1
1138051,16693,1
1138052,1426,1
1138053,1275,1
1138053,1283,2
1138053,1285,3
1138053,1290,4
1138053,1296,5
1138053,1311,6
1138053,1312,7
1138053,1358,8
1138053,1361,9
1138053,1371,10
1138054,18241,1
1138055,11114,1
1138055,11604,7
1138055,18241,2
1138055,20154,6
1138055,20166,3
1138055,20168,4
1138055,20169,5
1138056,17725,1
1138057,11116,1
1138058,1426,1
1138059,11109,2
1138059,13939,6
1138059,17007,1
1138059,20152,3
1138059,20153,5
1138059,20263,4
1138060,16693,1
1138061,1275,1
1138062,1444,5
1138062,11114,1
1138062,11331,2
1138062,16693,4
1138062,18285,3
1138063,1444,2
1138063,1445,1
1138064,1402,2
1138064,1426,1
1138065,1275,1
1138066,1306,1
1138066,1424,2
1138067,11114,1
1138068,1359,2
1138068,1361,1
1138069,11109,1
1138070,11604,2
1138070,18241,1
1138071,1361,1
1138071,11313,3
1138071,14218,2
1138071,18602,4
1138072,11109,2
1138072,11114,1
1138072,20153,3
1138073,1275,1
1138073,1283,3
1138073,1288,4
1138073,1290,5
1138073,1296,6
1138073,1304,7
1138073,1309,8
1138073,1311,9
1138073,1312,10
1138073,1322,11
1138073,1358,13
1138073,1361,14
1138073,1375,15
1138073,1491,16
1138073,2375,12
1138073,11101,2
1138074,1285,9
1138074,1294,2
1138074,1296,18
1138074,1304,1
1138074,1322,11
1138074,1348,4
1138074,1356,7
1138074,1367,12
1138074,1491,16
1138074,16762,19
1138074,17439,10
1138074,17455,5
1138074,17804,8
1138074,17943,3
1138074,18736,17
1138074,18774,6
1138074,19033,15
1138074,19103,13
1138074,19135,14
1138075,14220,1
1138076,14220,1
1138077,14220,1
1138078,14220,1
1138078,20153,2
1138079,1431,3
1138079,1451,4
1138079,16693,1
1138079,18241,2
1138080,1426,3
1138080,1445,4
1138080,1448,5
1138080,18241,1
1138080,18285,2
1138081,1275,1
1138082,16693,1
1138083,1265,2
1138083,1275,1
1138083,1304,3
1138083,1309,4
1138083,1328,5
1138083,1337,6
1138083,2375,7
1138084,1426,1
1138085,16693,1
1138086,14666,1
1138086,17725,2
1138087,1426,1
1138088,1354,2
1138088,1451,3
1138088,18241,1
1138089,1406,3
1138089,1424,4
1138089,1436,5
1138089,1448,7
1138089,1450,1
1138089,14669,6
1138089,18950,2
1138090,1361,1
1138091,1426,1
1138092,1275,1
1138093,1275,1
1138093,1309,4
1138093,1311,5
1138093,1316,6
1138093,1375,2
1138093,1390,3
1138094,1311,12
1138094,1322,10
1138094,1356,17
1138094,1358,2
1138094,1371,15
1138094,1390,11
1138094,11101,7
1138094,13505,9
1138094,14204,1
1138094,16762,3
1138094,17008,8
1138094,17455,6
1138094,19378,14
1138094,19506,4
1138094,20252,13
1138094,20254,18
1138094,20255,5
1138094,20261,16
1138095,1361,1
1138095,19380,2
1138096,1275,1
1138096,1283,2
1138096,1375,3
1138097,1275,1
1138097,1304,2
1138097,1311,3
1138098,1275,1
1138098,1283,2
1138098,1285,3
1138098,1356,4
1138099,16566,2
1138099,17725,1
1138099,18241,3
1138100,18241,1
1138101,1445,1
1138102,16693,1
1138103,1356,2
1138103,14204,1
1138103,18774,3
1138104,1426,1
1138105,1442,2
1138105,11109,1
1138106,1426,1
1138107,1275,1
1138107,1283,2
1138107,11328,3
1138108,1426,1
1138108,18241,2
1138109,11116,4
1138109,14220,1
1138109,14669,5
1138109,20151,2
1138109,20165,3
1138110,1406,2
1138110,1444,3
1138110,1448,4
1138110,11109,1
1138111,11109,1
1138112,1375,1
1138113,1445,1
1138113,16566,2
1138114,16693,1
1138115,1258,7
1138115,1259,2
1138115,1285,16
1138115,1294,3
1138115,1296,5
1138115,1309,18
1138115,1311,4
1138115,1332,8
1138115,1333,19
1138115,1339,10
1138115,1356,6
1138115,1371,13
1138115,1375,1
1138115,14209,14
1138115,16097,17
1138115,16762,12
1138115,17165,9
1138115,17943,15
1138115,18774,11
1138116,1275,1
1138117,1442,1
1138117,11109,2
1138117,20152,3
1138117,20153,4
1138117,20155,5
1138118,11116,1
1138118,20154,2
1138119,1275,1
1138119,1390,2
1138120,1445,3
1138120,16693,1
1138120,17007,2
1138121,1258,10
1138121,1285,14
1138121,1356,4
1138121,16097,7
1138121,17008,8
1138121,17439,5
1138121,17455,6
1138121,17943,3
1138121,18774,1
1138121,18942,2
1138121,19506,9
1138121,20261,15
1138121,20634,11
1138121,20680,12
1138121,20683,13
1138122,1375,1
1138123,1424,5
1138123,11109,3
1138123,14220,4
1138123,17007,1
1138123,18931,2
1138123,20167,6
1138124,16693,1
1138125,16566,2
1138125,16693,1
1138126,14204,1
1138127,14666,1
1138127,20264,2
1138128,1426,1
1138129,1445,1
1138130,1257,2
1138130,1269,4
1138130,1354,14
1138130,1389,21
1138130,1417,7
1138130,1426,11
1138130,1431,12
1138130,1444,16
1138130,1445,18
1138130,1451,20
1138130,11331,6
1138130,11604,17
1138130,16566,5
1138130,16675,19
1138130,16693,15
1138130,17725,1
1138130,18241,8
1138130,18285,9
1138130,20166,10
1138130,20168,13
1138130,21405,3
1138131,14220,1
1138131,20151,2
1138132,14220,1
1138133,1275,1
1138134,1375,1
1138134,16762,2
1138135,1426,1
1138136,17007,1
1138136,20153,3
1138136,20262,2
1138137,1275,1
1138138,1304,2
1138138,1358,1
1138138,1387,3
1138139,1306,2
1138139,1424,4
1138139,1450,6
1138139,11114,3
1138139,14220,1
1138139,20169,5
1138140,1450,2
1138140,11116,1
1138141,1259,2
1138141,1361,1
1138142,1306,11
1138142,1326,18
1138142,1406,6
1138142,1424,1
1138142,1436,24
1138142,1442,26
1138142,1448,32
1138142,1450,34
1138142,1456,36
1138142,1457,2
1138142,11109,8
1138142,11114,19
1138142,11116,29
1138142,13939,22
1138142,14215,33
1138142,14216,35
1138142,14220,14
1138142,14669,31
1138142,16653,9
1138142,17007,16
1138142,17552,27
1138142,18931,7
1138142,18950,3
1138142,19392,4
1138142,20151,5
1138142,20152,10
1138142,20153,17
1138142,20154,23
1138142,20155,25
1138142,20156,28
1138142,20165,15
1138142,20167,20
1138142,20169,21
1138142,20262,12
1138142,20263,13
1138142,20264,30
1138142,20265,37
1138143,1326,8
1138143,1406,3
1138143,1450,12
1138143,1456,14
1138143,11109,5
1138143,11116,11
1138143,13939,9
1138143,14216,13
1138143,14220,1
1138143,18931,4
1138143,20151,2
1138143,20153,7
1138143,20154,10
1138143,20263,6
1138144,1258,5
1138144,1283,6
1138144,1296,7
1138144,1356,2
1138144,14205,4
1138144,18774,1
1138144,18942,3
1138144,20261,8
1138145,14220,1
1138146,17007,1
1138146,18931,2
1138147,14220,1
1138147,20153,2
1138148,1389,1
1138149,1375,1
1138149,14209,2
1138150,11109,1
1138151,11109,1
1138152,11109,1
1138152,20263,2
1138153,1258,16
1138153,1265,7
1138153,1275,11
1138153,1285,48
1138153,1294,15
1138153,1296,49
1138153,1304,50
1138153,1309,9
1138153,1311,4
1138153,1316,51
1138153,1322,12
1138153,1332,33
1138153,1334,19
1138153,1337,52
1138153,1343,53
1138153,1353,13
1138153,1356,54
1138153,1358,24
1138153,1364,55
1138153,1368,57
1138153,1375,3
1138153,1387,8
1138153,1390,58
1138153,1400,27
1138153,11102,47
1138153,11313,35
1138153,11326,56
1138153,13505,34
1138153,14204,1
1138153,14205,26
1138153,14209,5
1138153,14210,20
1138153,14213,31
1138153,14217,6
1138153,14218,21
1138153,16097,17
1138153,16112,43
1138153,16761,36
1138153,16762,14
1138153,17165,10
1138153,17439,2
1138153,17455,18
1138153,17792,23
1138153,17804,42
1138153,18736,30
1138153,18774,22
1138153,18776,28
1138153,18942,29
1138153,19103,41
1138153,19378,25
1138153,19640,40
1138153,19642,37
1138153,19648,38
1138153,20252,39
1138153,20255,46
1138153,20259,32
1138153,20261,44
1138153,20637,45
1138154,1275,1
1138154,18942,2
1138155,14220,1
1138155,17007,3
1138155,20151,2
1138156,1402,2
1138156,17007,1
1138156,20262,3
1138157,16566,2
1138157,16693,1
1138157,18241,3
1138158,1424,2
1138158,14220,1
1138159,18241,1
1138160,1275,1
1138160,1302,3
1138160,11325,2
1138160,13334,4
1138161,16693,1
1138162,1275,1
1138162,1285,2
1138162,1304,3
1138163,1426,1
1138163,1456,13
1138163,11114,10
1138163,14216,12
1138163,17007,8
1138163,17725,2
1138163,20152,3
1138163,20153,9
1138163,20165,6
1138163,20166,7
1138163,20167,11
1138163,20262,4
1138163,20263,5
1138164,1275,1
1138165,1275,1
1138165,1392,2
1138166,17725,1
1138167,11109,1
1138168,1426,1
1138169,1269,2
1138169,1389,1
1138169,14215,3
1138170,1258,7
1138170,1285,2
1138170,1367,11
1138170,14205,5
1138170,17008,4
1138170,17439,3
1138170,18774,1
1138170,19135,9
1138170,19506,6
1138170,20261,12
1138170,20634,8
1138170,20680,10
1138171,1275,1
1138171,1289,6
1138171,1290,2
1138171,1361,8
1138171,1491,9
1138171,11101,5
1138171,11105,7
1138171,14210,3
1138171,20256,4
1138172,1426,1
1138173,16693,1
1138174,1275,1
1138175,16693,1
1138176,11116,3
1138176,19392,1
1138176,20165,2
1138177,17725,2
1138177,18241,1
1138178,1275,1
1138178,1285,2
1138178,1287,3
1138178,1289,4
1138178,1292,5
1138178,1296,6
1138178,1368,7
1138178,1390,8
1138178,1491,9
1138179,1258,3
1138179,1311,6
1138179,1361,1
1138179,1392,8
1138179,17165,5
1138179,17455,9
1138179,17792,4
1138179,17804,7
1138179,19379,2
1138180,1258,9
1138180,1283,6
1138180,1287,5
1138180,1288,11
1138180,1322,4
1138180,1356,2
1138180,2375,7
1138180,16097,12
1138180,16762,3
1138180,18774,1
1138180,19506,8
1138180,20261,13
1138180,20634,10
1138181,1294,3
1138181,1491,2
1138181,11102,1
1138181,11328,5
1138181,18602,4
1138182,1275,1
1138182,14205,2
1138182,14207,7
1138182,14218,3
1138182,16761,4
1138182,20255,5
1138182,20259,6
1138183,16693,1
1138184,1285,20
1138184,1288,10
1138184,1304,5
1138184,1309,17
1138184,1311,14
1138184,1312,12
1138184,1322,8
1138184,1337,21
1138184,1358,3
1138184,1371,13
1138184,1390,25
1138184,1491,16
1138184,2375,9
1138184,14204,1
1138184,14214,2
1138184,16097,15
1138184,16762,24
1138184,17439,6
1138184,17455,7
1138184,18774,18
1138184,18938,4
1138184,19033,23
1138184,19102,22
1138184,19103,11
1138184,19380,26
1138184,20256,19
1138185,11109,1
1138186,1275,1
1138187,1275,1
1138187,1287,3
1138187,1301,4
1138187,1302,5
1138187,1309,7
1138187,1311,9
1138187,1312,10
1138187,1322,11
1138187,1337,12
1138187,1343,13
1138187,1353,14
1138187,1367,15
1138187,1375,16
1138187,1381,17
1138187,1400,19
1138187,1491,18
1138187,11101,2
1138187,11316,6
1138187,11317,8
1138188,14220,1
1138188,20151,2
1138189,1445,1
1138190,16693,1
1138191,1275,1
1138191,1283,2
1138191,1294,3
1138191,1301,4
1138191,1304,5
1138191,1309,6
1138191,1311,7
1138191,1337,8
1138192,11109,1
1138193,11114,1
1138193,11331,2
1138194,1450,2
1138194,11116,1
1138195,1361,1
1138196,1426,1
1138197,1275,1
1138198,1436,5
1138198,1442,7
1138198,1450,10
1138198,14215,9
1138198,14220,3
1138198,19392,1
1138198,20151,2
1138198,20155,6
1138198,20165,4
1138198,20264,8
1138199,1275,1
1138200,1361,1
1138201,1450,4
1138201,11109,2
1138201,14215,3
1138201,14220,1
1138202,1389,1
1138202,20166,2
1138203,1285,8
1138203,1322,2
1138203,1356,3
1138203,1371,4
1138203,1375,1
1138203,1390,6
1138203,14209,7
1138203,16762,10
1138203,17455,5
1138203,18938,9
1138204,11116,1
1138205,1283,6
1138205,1285,7
1138205,1356,12
1138205,1361,1
1138205,17439,10
1138205,17455,5
1138205,17804,11
1138205,17943,8
1138205,18774,9
1138205,18942,2
1138205,19378,4
1138205,19506,3
1138206,1275,1
1138207,1275,10
1138207,1285,22
1138207,1308,23
1138207,1309,24
1138207,1311,5
1138207,1322,11
1138207,1333,25
1138207,1348,2
1138207,1356,16
1138207,1359,13
1138207,11101,3
1138207,13946,19
1138207,14204,1
1138207,14209,7
1138207,14210,18
1138207,14217,4
1138207,14218,17
1138207,16762,6
1138207,17372,12
1138207,17439,9
1138207,17455,8
1138207,17551,15
1138207,17804,14
1138207,17943,20
1138207,18602,21
1138208,1361,1
1138209,14220,1
1138210,1445,1
1138211,16693,1
1138212,1426,1
1138213,1426,1
1138214,1426,1
1138214,20166,2
1138215,1275,1
1138215,1289,2
1138215,1296,3
1138215,1337,4
1138216,1445,1
1138217,1275,1
1138217,1285,2
1138217,1312,3
1138217,1322,4
1138217,1343,5
1138218,18241,1
1138219,1387,1
1138219,11103,2
1138220,11331,2
1138220,16693,1
1138221,1275,1
1138221,1283,2
1138221,1285,3
1138221,1371,4
1138222,14204,1
1138223,11109,1
1138224,18241,1
1138225,17007,1
1138226,1426,1
1138227,1445,1
1138227,17725,2
1138227,18241,3
1138228,1254,21
1138228,1288,9
1138228,1294,3
1138228,1296,22
1138228,1304,4
1138228,1316,23
1138228,1322,5
1138228,1348,6
1138228,1356,19
1138228,1358,1
1138228,1367,10
1138228,1368,16
1138228,1375,7
1138228,1400,8
1138228,14210,11
1138228,17439,18
1138228,17455,2
1138228,18774,14
1138228,20255,15
1138228,20256,13
1138228,20259,17
1138228,20637,20
1138228,20683,12
1138229,14215,2
1138229,14220,1
1138230,1445,1
1138230,16566,2
1138231,1389,1
1138231,16566,2
1138232,16693,1
1138232,17725,2
1138233,1426,1
1138234,11109,1
1138234,11114,3
1138234,17007,2
1138235,1275,1
1138235,14574,2
1138235,20636,3
1138236,17007,1
1138237,14220,1
1138238,1275,1
1138239,17007,1
1138240,11102,1
1138241,1258,9
1138241,1283,28
1138241,1285,11
1138241,1304,2
1138241,1309,30
1138241,1311,4
1138241,1312,15
1138241,1334,29
1138241,1356,32
1138241,1358,33
1138241,1375,26
1138241,1387,16
1138241,1390,35
1138241,11317,12
1138241,14204,1
1138241,14207,14
1138241,14214,3
1138241,14218,20
1138241,16097,13
1138241,16762,34
1138241,17008,8
1138241,17439,6
1138241,17455,10
1138241,17697,22
1138241,18774,7
1138241,18938,5
1138241,19136,24
1138241,19506,17
1138241,20252,25
1138241,20255,31
1138241,20257,19
1138241,20259,18
1138241,20261,21
