Platform,Party,Bioguide ID,Number of Active Accounts,Max Total Followers,Start of Term,End of Term,First Post,Last Post,Total Posts,Average Post Favorites/Reactions,Average Post Retweets/Shares
facebook,R,A000055,1,22404.0,2019-01-01,,2019-01-18,2020-05-29,325.0,108,35
facebook,R,A000360,2,57405.0,2019-01-01,,2019-01-02,2020-05-31,677.0,177,23
facebook,(R),A000367,2,140238.0,2019-01-01,,2019-01-01,2020-05-16,57.0,2197,495
facebook,R,A000369,1,9376.0,2019-01-01,,2019-01-04,2020-05-18,89.0,118,18
facebook,D,A000370,2,19146.0,2019-01-01,,2019-01-01,2020-05-30,612.0,54,10
facebook,D,A000371,2,11086.0,2019-01-01,,2019-01-02,2020-05-29,317.0,137,15
facebook,R,A000372,2,147433.0,2019-01-01,,2019-01-01,2020-05-28,673.0,76,14
facebook,R,A000374,2,69133.0,2019-01-01,,2019-01-01,2020-05-30,1347.0,503,180
facebook,R,A000375,2,45163.0,2019-01-01,,2019-01-04,2020-05-29,568.0,148,26
facebook,D,A000376,2,21259.0,2019-01-01,,2019-01-01,2020-05-31,1409.0,102,9
facebook,R,A000377,2,8721.0,2019-01-01,,2019-01-02,2020-05-29,954.0,92,11
facebook,D,A000378,2,8354.0,2019-01-01,,2019-01-02,2020-05-30,1047.0,63,7
facebook,D,B000490,2,12601.0,2019-01-01,,2019-01-01,2020-05-29,264.0,72,17
facebook,D,B000574,1,51637.0,2019-01-01,,2019-01-02,2020-05-31,408.0,318,30
facebook,R,B000575,2,64427.0,2019-01-01,,2019-01-01,2020-05-27,584.0,198,22
facebook,R,B000755,2,35325.0,2019-01-01,,2019-01-01,2020-05-30,1651.0,48,15
facebook,D,B000944,2,227783.0,2019-01-01,,2019-01-01,2020-05-29,645.0,1016,440
facebook,R,B001135,1,27914.0,2019-01-01,,2019-01-01,2020-04-21,83.0,491,49
facebook,D,B001230,2,170627.0,2019-01-01,,2019-01-01,2020-05-29,602.0,438,54
facebook,R,B001236,2,40983.0,2019-01-01,,2019-01-01,2020-05-28,699.0,96,15
facebook,R,B001243,2,147926.0,2019-01-01,,2019-01-02,2020-05-31,1679.0,635,96
facebook,R,B001248,1,8328.0,2019-01-01,,2019-01-01,2020-05-29,378.0,120,15
facebook,R,B001250,1,6687.0,2019-01-01,,2019-01-05,2020-05-29,87.0,115,12
facebook,D,B001251,1,10568.0,2019-01-01,,2019-01-01,2020-05-29,279.0,80,19
facebook,R,B001257,2,77654.0,2019-01-01,,2019-01-01,2020-05-31,1527.0,82,45
facebook,R,B001260,2,56647.0,2019-01-01,,2019-01-02,2020-05-29,370.0,302,55
facebook,R,B001261,2,35115.0,2019-01-01,,2019-01-03,2020-05-29,359.0,177,26
facebook,D,B001267,2,163858.0,2019-01-01,,2019-01-01,2020-05-30,1751.0,448,84
facebook,D,B001270,2,53144.0,2019-01-01,,2019-01-01,2020-05-31,875.0,85,26
facebook,R,B001274,2,52824.0,2019-01-01,,2019-01-02,2020-05-29,533.0,231,74
facebook,R,B001275,2,28665.0,2019-01-01,,2019-01-01,2020-05-30,592.0,69,12
facebook,D,B001277,2,79667.0,2019-01-01,,2019-01-01,2020-05-29,325.0,265,30
facebook,D,B001278,2,23675.0,2019-01-01,,2019-01-01,2020-05-30,679.0,88,8
facebook,D,B001281,2,45552.0,2019-01-01,,2019-01-01,2020-05-31,1095.0,196,39
facebook,R,B001282,2,49197.0,2019-01-01,,2019-01-04,2020-05-31,686.0,129,31
facebook,R,B001284,2,40397.0,2019-01-01,,2019-01-07,2020-05-30,376.0,68,8
facebook,D,B001285,2,21126.0,2019-01-01,,2019-01-01,2020-05-29,1191.0,84,10
facebook,D,B001286,2,52066.0,2019-01-01,,2019-01-01,2020-05-30,1491.0,104,14
facebook,D,B001287,2,32702.0,2019-01-01,,2019-01-01,2020-05-29,401.0,82,7
facebook,D,B001288,2,2334224.0,2019-01-01,,2019-01-02,2020-05-31,1505.0,1424,155
facebook,R,B001289,2,47325.0,2019-01-01,,2019-01-01,2020-05-30,2930.0,178,55
facebook,R,B001291,2,66355.0,2019-01-01,,2019-01-01,2020-05-31,1159.0,194,55
facebook,D,B001292,2,39886.0,2019-01-01,,2019-01-01,2020-05-30,1408.0,235,54
facebook,R,B001295,2,38210.0,2019-01-01,,2019-01-01,2020-05-31,905.0,251,40
facebook,D,B001296,2,14727.0,2019-01-01,,2019-01-01,2020-05-28,585.0,99,10
facebook,R,B001297,2,32008.0,2019-01-01,,2019-01-04,2020-05-27,434.0,138,24
facebook,R,B001298,2,12780.0,2019-01-01,,2019-01-02,2020-05-31,2166.0,82,6
facebook,R,B001299,2,24402.0,2019-01-01,,2019-01-01,2020-05-31,1301.0,163,31
facebook,D,B001300,1,8331.0,2019-01-01,,2019-01-01,2020-05-31,896.0,93,13
facebook,R,B001301,2,21754.0,2019-01-01,,2019-01-02,2020-05-29,638.0,255,36
facebook,R,B001302,2,33819.0,2019-01-01,,2019-01-01,2020-05-31,1741.0,257,52
facebook,D,B001303,2,23097.0,2019-01-01,,2019-01-01,2020-05-31,321.0,179,29
facebook,D,B001304,2,46131.0,2019-01-01,,2019-01-01,2020-05-31,547.0,94,21
facebook,R,B001305,2,34349.0,2019-01-01,,2019-01-01,2020-05-30,1174.0,174,26
facebook,R,B001306,2,4445.0,2019-01-01,,2019-01-04,2020-05-31,402.0,42,4
facebook,R,B001307,2,7352.0,2019-01-01,,2019-01-04,2020-05-30,420.0,41,5
facebook,D,B001308,2,28763.0,2019-01-01,,2019-01-01,2020-05-31,1753.0,114,11
facebook,R,B001309,2,15492.0,2019-01-01,,2019-01-03,2020-05-31,483.0,215,31
facebook,R,B001310,2,67710.0,2019-01-01,,2019-01-03,2020-05-28,634.0,468,53
