Term,Party,Positive-to-Negative Ratio,Proportion of Party,Proportion of Other Party
pro growth,R,6.872,0.851,0.124
bureaucrat,R,4.619,0.851,0.184
unborn,R,3.761,0.807,0.215
illegal immigrant,R,3.335,0.786,0.236
pro life,R,3.238,0.773,0.239
securing border,R,2.909,0.721,0.248
god bless america,R,2.747,0.697,0.254
amnesty,R,2.711,0.721,0.266
bless america,R,2.681,0.713,0.266
farm bureau,R,2.535,0.804,0.317
cut job act,R,2.426,0.762,0.314
hard earned money,R,2.363,0.671,0.284
tax cut job,R,2.323,0.765,0.329
simpler,R,2.318,0.728,0.314
deal iran,R,2.294,0.742,0.323
earned money,R,2.29,0.671,0.293
illegal immigration,R,2.145,0.726,0.338
year low,R,2.124,0.687,0.323
balanced budget,R,2.041,0.715,0.35
defending freedom,R,2.025,0.642,0.317
president reagan,R,1.983,0.731,0.369
cut red tape,R,1.966,0.648,0.329
farmer rancher,R,1.955,0.721,0.369
greatest generation,R,1.95,0.76,0.39
job creator,R,1.949,0.807,0.414
added job,R,1.948,0.671,0.344
cut red,R,1.914,0.648,0.338
enjoyed visiting,R,1.896,0.71,0.375
christ,R,1.871,0.718,0.384
chattanooga,R,1.857,0.64,0.344
enforce law,R,1.841,0.64,0.347
lower tax,R,1.84,0.778,0.423
stormed beach normandy,R,1.836,0.627,0.341
tour capitol,R,1.833,0.731,0.399
happy birthday president,R,1.817,0.697,0.384
rotary club,R,1.802,0.708,0.393
alien,R,1.772,0.637,0.36
ronald reagan,R,1.761,0.846,0.48
enjoyed speaking,R,1.753,0.757,0.432
cut job,R,1.746,0.775,0.444
netanyahu,R,1.745,0.822,0.471
right life,R,1.734,0.76,0.438
birthday president,R,1.728,0.731,0.423
bureaucracy,R,1.723,0.817,0.474
sanctuary city,R,1.722,0.728,0.423
burdensome,R,1.718,0.883,0.514
rancher,R,1.699,0.76,0.447
overreach,R,1.698,0.877,0.517
stormed beach,R,1.695,0.666,0.393
justice scalia,R,1.681,0.645,0.384
job report,R,1.678,0.695,0.414
infamy,R,1.671,0.611,0.366
jerusalem,R,1.67,0.666,0.399
thank men woman,R,1.668,0.786,0.471
nationalpoliceweek,R,1.666,0.76,0.456
paid ultimate sacrifice,R,1.665,0.614,0.369
keystone,R,1.661,0.773,0.465
simplify,R,1.656,0.655,0.396
aipac,R,1.653,0.684,0.414
attack pearl harbor,R,1.639,0.718,0.438
attack pearl,R,1.639,0.718,0.438
neil gorsuch,R,1.635,0.637,0.39
thank men,R,1.632,0.794,0.486
god bless,R,1.628,0.935,0.574
amendment right,R,1.622,0.838,0.517
life line day,R,1.62,0.627,0.387
secure border,R,1.614,0.849,0.526
lord,R,1.612,0.721,0.447
sacrifice freedom,R,1.597,0.603,0.378
job act,R,1.591,0.789,0.495
child tax,R,1.566,0.606,0.387
pow,R,1.56,0.773,0.495
defend freedom,R,1.552,0.76,0.489
jobless,R,1.546,0.598,0.387
thank brave men,R,1.544,0.676,0.438
bless,R,1.544,0.937,0.607
takeover,R,1.543,0.629,0.408
red tape,R,1.539,0.911,0.592
rotary,R,1.531,0.791,0.517
freedom today,R,1.517,0.637,0.42
law abiding,R,1.515,0.796,0.526
lowest level,R,1.514,0.59,0.39
democrat voted,R,1.512,0.621,0.411
government spending,R,1.506,0.742,0.492
passed tax,R,1.506,0.582,0.387
thank served,R,1.502,0.64,0.426
selfless service,R,1.5,0.634,0.423
iran deal,R,1.481,0.796,0.538
serve great,R,1.469,0.621,0.423
nation hero,R,1.465,0.624,0.426
fentanyl,R,1.464,0.606,0.414
eisenhower,R,1.463,0.619,0.423
booming,R,1.452,0.781,0.538
human life,R,1.45,0.666,0.459
paid ultimate,R,1.447,0.713,0.492
immigration law,R,1.447,0.765,0.529
family farm,R,1.44,0.574,0.399
tax rate,R,1.44,0.731,0.508
gorsuch,R,1.439,0.687,0.477
