Category: All categories

Week,#metoo: (New York)
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,100
2017-10-22,18
2017-10-29,6
2017-11-05,6
2017-11-12,11
2017-11-19,6
2017-11-26,6
2017-12-03,19
2017-12-10,13
2017-12-17,10
2017-12-24,7
2017-12-31,9
2018-01-07,15
2018-01-14,16
2018-01-21,15
2018-01-28,26
2018-02-04,10
2018-02-11,18
2018-02-18,8
2018-02-25,5
2018-03-04,10
2018-03-11,14
2018-03-18,4
2018-03-25,4
2018-04-01,7
2018-04-08,10
2018-04-15,5
2018-04-22,5
2018-04-29,5
2018-05-06,5
2018-05-13,9
2018-05-20,9
2018-05-27,8
2018-06-03,6
2018-06-10,7
2018-06-17,7
2018-06-24,6
2018-07-01,6
2018-07-08,4
2018-07-15,0
2018-07-22,9
2018-07-29,6
2018-08-05,4
2018-08-12,3
2018-08-19,6
2018-08-26,9
2018-09-02,4
2018-09-09,7
2018-09-16,3
2018-09-23,10
2018-09-30,12
2018-10-07,12
2018-10-14,13
2018-10-21,2
2018-10-28,6
2018-11-04,5
2018-11-11,3
2018-11-18,9
2018-11-25,10
2018-12-02,8
2018-12-09,3
2018-12-16,8
2018-12-23,5
2018-12-30,3
2019-01-06,7
2019-01-13,3
2019-01-20,2
2019-01-27,6
2019-02-03,3
2019-02-10,9
2019-02-17,3
2019-02-24,8
2019-03-03,5
2019-03-10,4
2019-03-17,5
2019-03-24,4
2019-03-31,4
2019-04-07,4
2019-04-14,5
2019-04-21,3
2019-04-28,2
2019-05-05,8
2019-05-12,5
2019-05-19,7
2019-05-26,4
2019-06-02,5
2019-06-09,3
2019-06-16,3
2019-06-23,2
2019-06-30,0
2019-07-07,2
2019-07-14,2
2019-07-21,4
2019-07-28,4
2019-08-04,2
2019-08-11,4
2019-08-18,2
2019-08-25,0
2019-09-01,0
2019-09-08,3
2019-09-15,2
2019-09-22,2
2019-09-29,4
2019-10-06,2
2019-10-13,4
2019-10-20,3
2019-10-27,0
2019-11-03,4
2019-11-10,2
2019-11-17,3
2019-11-24,2
2019-12-01,3
2019-12-08,3
2019-12-15,2
2019-12-22,0
2019-12-29,2
2020-01-05,2
2020-01-12,2
2020-01-19,4
2020-01-26,0
2020-02-02,2
2020-02-09,3
2020-02-16,2
2020-02-23,7
2020-03-01,4
2020-03-08,2
2020-03-15,3
2020-03-22,2
2020-03-29,2
2020-04-05,2
2020-04-12,3
2020-04-19,3
2020-04-26,3
2020-05-03,4
2020-05-10,2
2020-05-17,3
2020-05-24,2
2020-05-31,3
2020-06-07,0
2020-06-14,2
2020-06-21,3
2020-06-28,2
2020-07-05,2
2020-07-12,2
2020-07-19,0
2020-07-26,2
2020-08-02,2
2020-08-09,5
2020-08-16,2
2020-08-23,2
2020-08-30,2
2020-09-06,0
2020-09-13,2
2020-09-20,2
2020-09-27,3
2020-10-04,3
2020-10-11,2
2020-10-18,2
